S No.,Roll No.,Student Name,School,Department,Program,Semester,Batch,Course Code,Course Name,Hours Conducted,Hours Attended,Physical Attendance %,Approved Leave Hours,Approved Leave %,Attended Hours with Approved Leave,Attended Hours with Approved Leave Percentage,Staff Name
1,21001,John Doe,Engineering,Computer Science,B.Tech,S5,2021,CS101,Intro to CS,40,35,87.5,0,0,35,87.5,Prof. A
2,21001,John Doe,Engineering,Computer Science,B.Tech,S5,2021,CS102,Data Structures,40,38,95.0,0,0,38,95.0,Prof. B
3,21002,Jane Smith,Engineering,Computer Science,B.Tech,S5,2021,CS101,Intro to CS,40,20,50.0,0,0,20,50.0,Prof. A
4,21002,Jane Smith,Engineering,Computer Science,B.Tech,S5,2021,CS102,Data Structures,40,25,62.5,0,0,25,62.5,Prof. B
5,21003,Bob Johnson,Engineering,Computer Science,B.Tech,S5,2021,CS101,Intro to CS,40,30,75.0,0,0,30,75.0,Prof. A
6,21003,Bob Johnson,Engineering,Computer Science,B.Tech,S5,2021,CS102,Data Structures,40,28,70.0,0,0,28,70.0,Prof. B
7,21004,Alice Brown,Engineering,Computer Science,B.Tech,S5,2021,CS101,Intro to CS,40,39,97.5,0,0,39,97.5,Prof. A
8,21004,Alice Brown,Engineering,Computer Science,B.Tech,S5,2021,CS102,Data Structures,40,36,90.0,0,0,36,90.0,Prof. B
9,21005,Charlie Davis,Engineering,Computer Science,B.Tech,S5,2021,CS101,Intro to CS,40,20,50.0,0,0,20,50.0,Prof. A
10,21005,Charlie Davis,Engineering,Computer Science,B.Tech,S5,2021,CS102,Data Structures,40,35,87.5,0,0,35,87.5,Prof. B
